;-------------------------------------------------,,
;0-199 基本素質,,
;-------------------------------------------------,,
0,처녀,
1,동정,
2,애널처녀,
9,붕괴,;売却額がかなり低下。営業で客の満足度激減

;성격,,
10,겁쟁이,;ABL:従順が上げやすい。PALAM:反感が上がりにくい
11,건방짐,;コマンドを実行しにくい。売却の際に従順4以上必要。PALAM:온순と欲情が上がりにくい
12,다부짐,;コマンドを実行しにくい。売却の際に従順4以上必要
13,솔직함,;コマンドを実行しやすい。ABL:従順と봉사정신が上げやすい。PALAM:온순が上がりやすい
14,얌전함,;PALAM:反感が上がりにくい
15,프라이드 높음,;コマンドを実行しにくい。ABL:기교と봉사정신が上げにくい。PALAM:屈服が上がりにくい
16,활발함,;ABL:従順と봉사정신が上げにくい。
17,프라이드 낮음,;コマンドを実行しやすい。ABL:봉사정신が上げやすい。PALAM:屈服が上がりやすい
18,츤데레,;反抗的を同時に持つ場合, 従順4以上で反抗的→솔직함に変更

;性への関心,,
20,자제심,;売却の際に욕망4以上必要。ABL:봉사정신が上げにくい。快楽系PALAMが上がりにくい
21,쿨,:ABL:봉사정신が上げにくい。PALAM:온순, 욕정, 굴복, 공포, 反感が上がりにくい
22,감정부족,:ABL:봉사정신が上げにくい。PALAMが全体的に上がりにくい
23,호기심,;コマンドを実行しやすい。PALAM:習得が上がりやすい
24,보수적,;コマンドを実行しにくい。ABL:봉사정신が上げにくい。PALAM:習得が上がりにくい
25,포지티브,;ABL:봉사정신が上げやすい。PALAM:抑鬱が上がりにくい
26,네거티브,;ABL:봉사정신が上げやすい。PALAM:抑鬱が上がりやすい
27,일선을 넘지않음,;全てのABLが上げにくい
28,튀고 싶어함,;コマンドを実行しやすい。ABL:노출벽が上げやすい

;乙女心,,
30,정조관념,;情愛系調教の効果が低い。PALAM:反感が上がりやすい
31,정조 무관심,;情愛系調教の効果が低い。PALAM:反感が上がりにくい
32,억압,;コマンドを実行しにくい。売却の際に욕망4以上必要。PALAM:욕정が上がりにくい。PALAM:反感が上がりやすい
33,해방,;ABL:마조끼とABL:레즈끼が上げやすい。PALAM:욕정と屈服が上がりやすい
34,저항,;コマンドを実行しにくい。売却の際に욕망4以上必要。PALAM:욕정が上がりにくい。PALAM:反感が上がりやすい
35,수줍음,;コマンドを実行しにくい。露出系調教の効果が高い
36,부끄럼 없음,;露出系調教の効果が低い
37,약점,;コマンドを実行しやすい

;体質,,
40,아픔에 약함,;PALAM:공포と反感が上がりやすい。ABL:마조끼があるとSM系調教でPALAM:욕정が上がりやすい
41,아픔에 강함,;PALAM:공포と反感が上がりにくい
42,젖기쉬움,;PALAM:윤활が上がりやすい
43,젖기힘듬,;PALAM:윤활が上がりにくい
44,울보,;
45,울지 않음,;プレイ中に涙を見せない
46,약물중독,;しあわせ草使用による기력, 체력소비軽減＋効果増大。しあわせ草を与えないと7日ごとに禁断症状が起きる
47,정애미각,;精液を飲むだけで절정してしまう体質。ABL:정액중독が上げやすい

;技術,,
50,소질있음,;ABL:봉사정신が上げやすい。PALAM:習得が上がりやすい
51,습득느림,;ABL:봉사정신が上げにくい。PALAM:習得が上がりにくい
52,혀놀림,;フェラ系調教の効果が高い
55,조합지식,;特殊な아이템を購入できる。コマンド「しあわせ草」の체력と기력の消費が少ない
56,약독내성,;コマンド「しあわせ草」「이뇨제」が実行不可
57,오줌싸개,;방뇨コマンドが常に使えるようになる。절정時に방뇨。

;潔癖度,,
60,자위하기 쉬움,;자위関連が実行しやすい。ABL:자위중독が上げやすい
61,악취둔감,;フェラ系調教を実行しやすい。ABL:정액중독が上げやすい
62,악취민감,;フェラ系調教を実行しにくい。ABL:정액중독が上げにくい
63,헌신적,;奉仕系調教を実行しやすい。ABL:봉사정신が上げやすい。PALAM:屈服が上がりやすい
64,불결무시,;調教者の時に汚れによるペナルティをうけない

;正直度,,
70,쾌감에 솔직,;コマンドを実行しやすい。ABL:욕망と봉사정신が上げやすい。PALAM:욕정が上がりやすい
71,쾌감을 부정,;コマンドを実行しにくい。PALAM:욕정が上がりにくい
72,중독되기 쉬움,;ABL:자위중독, 정액중독, 레즈중독が上げやすい
73,즉각함락,;コマンドを実行しやすい。調教時にABLが上がる事がある

;特殊性癖,,
74,자위광,;C系コマンド及び자위系コマンドの効果アップ
75,섹스광,;V系コマンドの効果アップ
76,음란,;コマンドを実行しやすい。ABLが全体的に上がりやすい
77,애널광,;A系コマンドの効果アップ
78,가슴광,;B系コマンドの効果アップ

;性癖,,
79,보이시,;オトコ以外による調教が実行しにくい。本来の素質名は「女嫌い」だが, 雰囲気重視でこう表記
80,도착적,;SM系調教の効果が高い。ABLが全体的に上がりやすい
81,바이,;レズ調教を実行しやすい。ABL:レズ, 레즈중독が上げやすい
82,남성불신,;オトコによる調教が実行しにくい
83,새드,;調教者の時にコマンドを実行しやすい。ABL:봉사정신が上げにくい
84,질투,;いるだけで他のキャラの回復量減少。効果は累積する
85,연심,;主人による調教が実行しやすい。PALAM:屈服が上がりやすい
86,망신,;コマンドを実行しやすい。PALAM:屈服が上がりやすい
87,소악마,;調教者の時にコマンドを実行しやすい
88,마조,;
89,노출광,;

;
90,섹프,;

;魅了,,
91,매혹,;調教者の時にコマンドを実行しやすい。調教者の時にPALAMが全体的に上がりやすい
92,수수께끼의 매력,;調教者の時にコマンドを実行しやすい。調教者の時にPALAMが全体的に上がりやすい
93,카리스마,;調教者の時にコマンドを実行しやすい。調教者の時に恐怖があがりやすい

;身体特徴,,
99,큰체구,;PALAM:고통, 恐怖が上がりにくい
100,작은체형,;PALAM:고통, 恐怖が上がりやすい
101,C둔감,;PALAM:快Cが上がりにくい
102,C민감,;PALAM:快Cが上がりやすい
103,V둔감,;PALAM:쾌Vが上がりにくい
104,V민감,;PALAM:쾌Vが上がりやすい
105,A둔감,;PALAM:快Aが上がりにくい
106,A민감,;PALAM:快Aが上がりやすい
107,B둔감,;PALAM:쾌Bが上がりにくい
108,B민감,;PALAM:쾌Bが上がりやすい
109,빈유,;ABL:B感覚が上げやすい。胸関連の調教にペナルティ
110,거유,;ABL:B感覚が上げにくい。胸関連の調教にボーナス
111,회복 빠름,;체력回復量が多い
112,회복 느림,;체력回復量が少ない
